id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-000096,SIN-00030,Certificado Medico,True,True,2024-07-12,False,
DOC-000097,SIN-00031,Denuncia Policial,True,True,2026-09-22,False,
DOC-000098,SIN-00031,Informe Perito,True,True,2026-09-22,False,
DOC-000099,SIN-00031,Factura Reparacion,True,True,2026-09-22,False,
DOC-000100,SIN-00032,Cedula Asegurado,True,True,2024-11-30,False,
DOC-000101,SIN-00032,Certificado Medico,True,True,2024-11-30,False,
DOC-000102,SIN-00032,Informe Perito,True,True,2024-11-30,False,
DOC-000103,SIN-00032,Foto Evidencia,True,True,2024-11-30,False,
DOC-000104,SIN-00033,Foto Evidencia,True,True,2025-09-06,False,
DOC-000105,SIN-00033,Factura Reparacion,True,True,2025-09-06,False,
DOC-000106,SIN-00034,Foto Evidencia,True,True,2025-01-08,False,
DOC-000107,SIN-00034,Cedula Asegurado,True,True,2025-01-08,False,
DOC-000108,SIN-00034,Factura Reparacion,True,True,2025-01-08,False,
DOC-000109,SIN-00035,Certificado Medico,True,True,2026-02-07,False,
DOC-000110,SIN-00035,Foto Evidencia,True,True,2026-02-07,False,
DOC-000111,SIN-00035,Factura Reparacion,True,True,2026-02-07,False,
DOC-000112,SIN-00035,Cedula Asegurado,True,False,2026-02-07,False,
DOC-000113,SIN-00036,Cedula Asegurado,True,True,2024-04-20,False,
DOC-000114,SIN-00036,Denuncia Policial,True,True,2024-04-20,False,
DOC-000115,SIN-00037,Denuncia Policial,True,True,2023-09-02,False,
DOC-000116,SIN-00037,Certificado Medico,True,True,2023-09-02,False,
DOC-000117,SIN-00037,Factura Reparacion,True,True,2023-09-02,False,
DOC-000118,SIN-00037,Cedula Asegurado,True,True,2023-09-02,False,
DOC-000119,SIN-00038,Factura Reparacion,True,True,2024-05-05,False,
DOC-000120,SIN-00038,Certificado Medico,True,True,2024-05-05,False,
DOC-000121,SIN-00038,Denuncia Policial,True,True,2024-05-05,False,
DOC-000122,SIN-00039,Foto Evidencia,True,True,2024-06-18,False,
DOC-000123,SIN-00039,Denuncia Policial,True,True,2024-06-18,False,
DOC-000124,SIN-00039,Informe Perito,True,True,2024-06-18,False,
DOC-000125,SIN-00040,Certificado Medico,True,False,2023-11-29,False,
DOC-000126,SIN-00040,Factura Reparacion,True,True,2023-11-29,False,
DOC-000127,SIN-00040,Foto Evidencia,True,True,2023-11-29,False,
DOC-000128,SIN-00040,Informe Perito,True,True,2023-11-29,False,
DOC-000129,SIN-00041,Cedula Asegurado,True,True,2024-05-12,False,
DOC-000130,SIN-00041,Foto Evidencia,True,True,2024-05-12,False,
DOC-000131,SIN-00041,Informe Perito,True,True,2024-05-12,False,
DOC-000132,SIN-00042,Cedula Asegurado,True,True,2026-03-23,False,
DOC-000133,SIN-00042,Certificado Medico,True,True,2026-03-23,False,
DOC-000134,SIN-00043,Informe Perito,True,True,2026-04-06,False,
DOC-000135,SIN-00043,Factura Reparacion,True,True,2026-04-06,False,
DOC-000136,SIN-00043,Denuncia Policial,True,True,2026-04-06,False,
DOC-000137,SIN-00044,Factura Reparacion,True,True,2024-10-17,False,
DOC-000138,SIN-00044,Denuncia Policial,True,True,2024-10-17,False,
DOC-000139,SIN-00044,Foto Evidencia,True,True,2024-10-17,False,
DOC-000140,SIN-00044,Informe Perito,True,True,2024-10-17,False,
DOC-000141,SIN-00044,Cedula Asegurado,True,True,2024-10-17,False,
DOC-000142,SIN-00045,Factura Reparacion,True,True,2026-03-17,False,
DOC-000143,SIN-00045,Informe Perito,True,True,2026-03-17,False,
DOC-000144,SIN-00045,Cedula Asegurado,True,True,2026-03-17,False,
DOC-000145,SIN-00045,Foto Evidencia,True,True,2026-03-17,False,
DOC-000146,SIN-00045,Certificado Medico,True,True,2026-03-17,False,
DOC-000147,SIN-00046,Factura Reparacion,True,True,2023-12-19,False,
DOC-000148,SIN-00046,Certificado Medico,True,True,2023-12-19,False,
DOC-000149,SIN-00047,Foto Evidencia,True,True,2025-10-28,False,
DOC-000150,SIN-00047,Factura Reparacion,True,True,2025-10-28,False,
DOC-000151,SIN-00047,Informe Perito,True,True,2025-10-28,False,
DOC-000152,SIN-00048,Informe Perito,True,True,2026-03-29,False,
DOC-000153,SIN-00048,Cedula Asegurado,True,True,2026-03-29,False,
DOC-000154,SIN-00048,Denuncia Policial,True,True,2026-03-29,False,
DOC-000155,SIN-00048,Foto Evidencia,True,True,2026-03-29,False,
DOC-000156,SIN-00049,Foto Evidencia,True,True,2024-07-21,False,
DOC-000157,SIN-00049,Cedula Asegurado,True,True,2024-07-21,False,
DOC-000158,SIN-00050,Foto Evidencia,True,True,2026-05-13,False,
DOC-000159,SIN-00050,Certificado Medico,True,False,2026-05-13,False,
DOC-000160,SIN-00050,Informe Perito,True,True,2026-05-13,False,
DOC-000161,SIN-00050,Factura Reparacion,True,True,2026-05-13,False,
DOC-000162,SIN-00050,Cedula Asegurado,True,False,2026-05-13,False,
DOC-000163,SIN-00051,Informe Perito,True,True,2025-07-20,False,
DOC-000164,SIN-00051,Cedula Asegurado,True,True,2025-07-20,False,
DOC-000165,SIN-00052,Factura Reparacion,True,True,2026-05-29,False,
DOC-000166,SIN-00052,Denuncia Policial,True,True,2026-05-29,False,
DOC-000167,SIN-00052,Cedula Asegurado,True,True,2026-05-29,False,
DOC-000168,SIN-00052,Foto Evidencia,True,True,2026-05-29,False,
DOC-000169,SIN-00053,Informe Perito,True,True,2024-09-27,False,
DOC-000170,SIN-00053,Certificado Medico,True,True,2024-09-27,False,
DOC-000171,SIN-00053,Factura Reparacion,True,True,2024-09-27,False,
DOC-000172,SIN-00053,Cedula Asegurado,True,True,2024-09-27,False,
DOC-000173,SIN-00054,Denuncia Policial,True,True,2026-03-17,False,
DOC-000174,SIN-00054,Informe Perito,True,True,2026-03-17,False,
DOC-000175,SIN-00054,Cedula Asegurado,True,True,2026-03-17,False,
DOC-000176,SIN-00054,Factura Reparacion,True,True,2026-03-17,False,
DOC-000177,SIN-00055,Foto Evidencia,True,True,2025-01-26,False,
DOC-000178,SIN-00055,Cedula Asegurado,True,True,2025-01-26,False,
DOC-000179,SIN-00056,Factura Reparacion,True,True,2024-06-06,False,
DOC-000180,SIN-00056,Certificado Medico,True,True,2024-06-06,False,
DOC-000181,SIN-00056,Cedula Asegurado,True,True,2024-06-06,False,
DOC-000182,SIN-00056,Foto Evidencia,True,True,2024-06-06,False,
DOC-000183,SIN-00056,Denuncia Policial,True,True,2024-06-06,False,
DOC-000184,SIN-00057,Informe Perito,True,True,2026-07-04,False,
DOC-000185,SIN-00057,Factura Reparacion,True,True,2026-07-04,False,
DOC-000186,SIN-00058,Factura Reparacion,True,True,2024-04-30,False,
DOC-000187,SIN-00058,Foto Evidencia,True,True,2024-04-30,False,
DOC-000188,SIN-00058,Cedula Asegurado,True,True,2024-04-30,False,
DOC-000189,SIN-00058,Informe Perito,True,True,2024-04-30,False,
DOC-000190,SIN-00058,Denuncia Policial,True,False,2024-04-30,False,
DOC-000191,SIN-00059,Informe Perito,True,True,2026-07-27,False,
DOC-000192,SIN-00059,Factura Reparacion,True,True,2026-07-27,False,
DOC-000193,SIN-00059,Foto Evidencia,True,True,2026-07-27,False,
DOC-000194,SIN-00059,Cedula Asegurado,True,True,2026-07-27,False,
DOC-000195,SIN-00060,Cedula Asegurado,True,True,2026-09-29,False,
DOC-000196,SIN-00060,Denuncia Policial,True,True,2026-09-29,False,
DOC-000197,SIN-00060,Certificado Medico,True,True,2026-09-29,False,
DOC-000198,SIN-00060,Foto Evidencia,True,True,2026-09-29,False,
DOC-000199,SIN-00061,Foto Evidencia,True,True,2026-08-22,False,
DOC-000200,SIN-00061,Factura Reparacion,True,True,2026-08-22,False,
DOC-000201,SIN-00061,Certificado Medico,True,True,2026-08-22,False,
DOC-000202,SIN-00061,Denuncia Policial,True,True,2026-08-22,False,
DOC-000203,SIN-00061,Cedula Asegurado,True,True,2026-08-22,False,
DOC-000204,SIN-00062,Factura Reparacion,True,True,2025-02-03,False,
DOC-000205,SIN-00062,Denuncia Policial,True,True,2025-02-03,False,
DOC-000206,SIN-00063,Denuncia Policial,True,True,2026-06-23,False,
DOC-000207,SIN-00063,Factura Reparacion,True,True,2026-06-23,False,
DOC-000208,SIN-00063,Cedula Asegurado,True,True,2026-06-23,False,
DOC-000209,SIN-00063,Certificado Medico,True,False,2026-06-23,False,
DOC-000210,SIN-00063,Foto Evidencia,True,False,2026-06-23,False,
DOC-000211,SIN-00064,Factura Reparacion,True,True,2026-10-04,False,
DOC-000212,SIN-00064,Informe Perito,True,True,2026-10-04,False,
DOC-000213,SIN-00065,Denuncia Policial,False,False,2025-11-30,True,Gracias datos base lópez que buen.
DOC-000214,SIN-00065,Factura Reparacion,False,True,2025-11-30,False,
DOC-000215,SIN-00065,Foto Evidencia,False,True,2025-11-30,True,Pie estos orden comunicación llamado.
DOC-000216,SIN-00066,Certificado Medico,True,True,2024-06-07,False,
DOC-000217,SIN-00066,Foto Evidencia,True,True,2024-06-07,False,
DOC-000218,SIN-00066,Factura Reparacion,True,True,2024-06-07,False,
DOC-000219,SIN-00066,Informe Perito,True,True,2024-06-07,False,
DOC-000220,SIN-00066,Cedula Asegurado,True,False,2024-06-07,False,
DOC-000221,SIN-00067,Foto Evidencia,True,True,2025-01-25,False,
DOC-000222,SIN-00067,Denuncia Policial,True,True,2025-01-25,False,
DOC-000223,SIN-00067,Certificado Medico,True,True,2025-01-25,False,
DOC-000224,SIN-00068,Foto Evidencia,True,True,2025-12-15,False,
DOC-000225,SIN-00068,Certificado Medico,True,True,2025-12-15,False,
DOC-000226,SIN-00068,Denuncia Policial,True,True,2025-12-15,False,
DOC-000227,SIN-00068,Informe Perito,True,True,2025-12-15,False,
DOC-000228,SIN-00068,Cedula Asegurado,True,True,2025-12-15,False,
DOC-000229,SIN-00069,Foto Evidencia,True,True,2026-03-16,False,
DOC-000230,SIN-00069,Cedula Asegurado,True,True,2026-03-16,False,
DOC-000231,SIN-00069,Factura Reparacion,True,True,2026-03-16,False,
DOC-000232,SIN-00069,Certificado Medico,True,True,2026-03-16,False,
DOC-000233,SIN-00070,Certificado Medico,True,True,2023-12-06,False,
DOC-000234,SIN-00070,Cedula Asegurado,True,True,2023-12-06,False,
DOC-000235,SIN-00070,Denuncia Policial,True,True,2023-12-06,False,
DOC-000236,SIN-00071,Informe Perito,False,False,2026-05-10,False,
DOC-000237,SIN-00071,Cedula Asegurado,False,True,2026-05-10,False,
DOC-000238,SIN-00071,Certificado Medico,False,True,2026-05-10,False,
DOC-000239,SIN-00072,Informe Perito,True,True,2026-05-13,False,
DOC-000240,SIN-00072,Denuncia Policial,True,True,2026-05-13,False,
DOC-000241,SIN-00073,Foto Evidencia,True,True,2026-08-16,False,
DOC-000242,SIN-00073,Certificado Medico,True,False,2026-08-16,False,
DOC-000243,SIN-00073,Factura Reparacion,True,False,2026-08-16,False,
DOC-000244,SIN-00073,Cedula Asegurado,True,True,2026-08-16,False,
DOC-000245,SIN-00074,Foto Evidencia,True,False,2025-02-20,False,
DOC-000246,SIN-00074,Informe Perito,True,True,2025-02-20,False,
DOC-000247,SIN-00074,Certificado Medico,True,True,2025-02-20,False,
DOC-000248,SIN-00074,Denuncia Policial,True,True,2025-02-20,False,
DOC-000249,SIN-00074,Factura Reparacion,True,True,2025-02-20,False,
DOC-000250,SIN-00075,Foto Evidencia,True,True,2026-08-26,False,
DOC-000251,SIN-00075,Certificado Medico,True,True,2026-08-26,False,
DOC-000252,SIN-00075,Denuncia Policial,True,True,2026-08-26,False,
DOC-000253,SIN-00075,Cedula Asegurado,True,True,2026-08-26,False,
DOC-000254,SIN-00075,Informe Perito,True,True,2026-08-26,False,
DOC-000255,SIN-00076,Cedula Asegurado,True,True,2024-02-05,False,
DOC-000256,SIN-00076,Denuncia Policial,True,True,2024-02-05,False,
DOC-000257,SIN-00077,Factura Reparacion,True,True,2025-07-03,False,
DOC-000258,SIN-00077,Denuncia Policial,True,True,2025-07-03,False,
DOC-000259,SIN-00077,Cedula Asegurado,True,True,2025-07-03,False,
DOC-000260,SIN-00077,Informe Perito,True,False,2025-07-03,False,
DOC-000261,SIN-00077,Certificado Medico,True,True,2025-07-03,False,
DOC-000262,SIN-00078,Foto Evidencia,True,True,2026-01-26,False,
DOC-000263,SIN-00078,Denuncia Policial,True,True,2026-01-26,False,
DOC-000264,SIN-00078,Cedula Asegurado,True,False,2026-01-26,False,
DOC-000265,SIN-00079,Denuncia Policial,True,True,2023-09-29,False,
DOC-000266,SIN-00079,Foto Evidencia,True,True,2023-09-29,False,
DOC-000267,SIN-00080,Factura Reparacion,True,True,2026-02-22,False,
DOC-000268,SIN-00080,Certificado Medico,True,True,2026-02-22,False,
DOC-000269,SIN-00080,Denuncia Policial,True,True,2026-02-22,False,
DOC-000270,SIN-00080,Foto Evidencia,True,True,2026-02-22,False,
DOC-000271,SIN-00081,Factura Reparacion,True,True,2026-09-13,False,
DOC-000272,SIN-00081,Denuncia Policial,True,True,2026-09-13,False,
DOC-000273,SIN-00082,Certificado Medico,True,True,2025-09-27,False,
DOC-000274,SIN-00082,Factura Reparacion,True,True,2025-09-27,False,
DOC-000275,SIN-00082,Denuncia Policial,True,True,2025-09-27,False,
DOC-000276,SIN-00083,Cedula Asegurado,True,True,2024-07-04,False,
DOC-000277,SIN-00083,Factura Reparacion,True,True,2024-07-04,False,
DOC-000278,SIN-00083,Foto Evidencia,True,True,2024-07-04,False,
DOC-000279,SIN-00084,Informe Perito,True,True,2024-11-23,False,
DOC-000280,SIN-00084,Factura Reparacion,True,False,2024-11-23,False,
DOC-000281,SIN-00084,Denuncia Policial,True,True,2024-11-23,False,
DOC-000282,SIN-00084,Cedula Asegurado,True,True,2024-11-23,False,
DOC-000283,SIN-00085,Certificado Medico,False,True,2023-11-17,True,Quiere si todo domingo dicho argentina.
DOC-000284,SIN-00085,Cedula Asegurado,False,True,2023-11-17,True,Allá color mantener tema existen valor.
DOC-000285,SIN-00085,Informe Perito,False,True,2023-11-17,False,
DOC-000286,SIN-00085,Denuncia Policial,False,True,2023-11-17,False,
DOC-000287,SIN-00086,Informe Perito,True,True,2026-07-24,False,
DOC-000288,SIN-00086,Denuncia Policial,True,True,2026-07-24,False,
DOC-000289,SIN-00086,Certificado Medico,True,True,2026-07-24,False,
DOC-000290,SIN-00087,Informe Perito,True,True,2025-06-06,False,
DOC-000291,SIN-00087,Factura Reparacion,True,True,2025-06-06,False,
DOC-000292,SIN-00087,Certificado Medico,True,False,2025-06-06,False,
DOC-000293,SIN-00088,Cedula Asegurado,True,True,2025-04-29,False,
DOC-000294,SIN-00088,Certificado Medico,True,True,2025-04-29,False,
DOC-000295,SIN-00089,Cedula Asegurado,True,True,2024-08-06,False,
DOC-000296,SIN-00089,Certificado Medico,True,True,2024-08-06,False,
DOC-000297,SIN-00089,Denuncia Policial,True,True,2024-08-06,False,
DOC-000298,SIN-00090,Factura Reparacion,True,False,2023-10-16,False,
DOC-000299,SIN-00090,Foto Evidencia,True,True,2023-10-16,False,
DOC-000300,SIN-00090,Certificado Medico,True,True,2023-10-16,False,
DOC-000301,SIN-00090,Informe Perito,True,True,2023-10-16,False,
DOC-000302,SIN-00091,Factura Reparacion,True,True,2024-11-25,False,
DOC-000303,SIN-00091,Denuncia Policial,True,True,2024-11-25,False,
DOC-000304,SIN-00091,Certificado Medico,True,True,2024-11-25,False,
DOC-000305,SIN-00091,Informe Perito,True,True,2024-11-25,False,
DOC-000306,SIN-00091,Foto Evidencia,True,True,2024-11-25,False,
DOC-000307,SIN-00092,Certificado Medico,True,True,2024-03-14,False,
DOC-000308,SIN-00092,Informe Perito,True,True,2024-03-14,False,
DOC-000309,SIN-00092,Denuncia Policial,True,False,2024-03-14,False,
DOC-000310,SIN-00092,Foto Evidencia,True,True,2024-03-14,False,
DOC-000311,SIN-00092,Factura Reparacion,True,True,2024-03-14,False,
DOC-000312,SIN-00093,Cedula Asegurado,True,True,2024-06-23,False,
DOC-000313,SIN-00093,Foto Evidencia,True,True,2024-06-23,False,
DOC-000314,SIN-00093,Informe Perito,True,False,2024-06-23,False,
DOC-000315,SIN-00094,Denuncia Policial,True,True,2024-08-07,False,
DOC-000316,SIN-00094,Factura Reparacion,True,True,2024-08-07,False,
DOC-000317,SIN-00094,Certificado Medico,True,True,2024-08-07,False,
DOC-000318,SIN-00094,Informe Perito,True,True,2024-08-07,False,
DOC-000319,SIN-00094,Foto Evidencia,True,True,2024-08-07,False,
DOC-000320,SIN-00095,Factura Reparacion,True,True,2025-11-21,False,
DOC-000321,SIN-00095,Cedula Asegurado,True,True,2025-11-21,False,
DOC-000322,SIN-00095,Denuncia Policial,True,True,2025-11-21,False,
DOC-000323,SIN-00096,Factura Reparacion,True,True,2026-01-16,False,
DOC-000324,SIN-00096,Foto Evidencia,True,True,2026-01-16,False,
DOC-000325,SIN-00096,Certificado Medico,True,True,2026-01-16,False,
DOC-000326,SIN-00097,Informe Perito,True,True,2024-12-04,False,
DOC-000327,SIN-00097,Foto Evidencia,True,True,2024-12-04,False,
DOC-000328,SIN-00097,Denuncia Policial,True,True,2024-12-04,False,
DOC-000329,SIN-00098,Foto Evidencia,True,False,2025-05-07,False,
DOC-000330,SIN-00098,Certificado Medico,True,True,2025-05-07,False,
DOC-000331,SIN-00098,Cedula Asegurado,True,True,2025-05-07,False,
DOC-000332,SIN-00098,Denuncia Policial,True,True,2025-05-07,False,
DOC-000333,SIN-00098,Factura Reparacion,True,True,2025-05-07,False,
DOC-000334,SIN-00099,Cedula Asegurado,True,True,2026-01-19,False,
DOC-000335,SIN-00099,Factura Reparacion,True,True,2026-01-19,False,
DOC-000336,SIN-00099,Informe Perito,True,True,2026-01-19,False,
DOC-000337,SIN-00100,Denuncia Policial,True,True,2025-09-04,False,
DOC-000338,SIN-00100,Informe Perito,True,True,2025-09-04,False,
DOC-000339,SIN-00100,Factura Reparacion,True,False,2025-09-04,False,
DOC-000340,SIN-00100,Cedula Asegurado,True,True,2025-09-04,False,
DOC-000341,SIN-00100,Foto Evidencia,True,True,2025-09-04,False,
DOC-000342,SIN-00101,Foto Evidencia,True,True,2024-01-19,False,
DOC-000343,SIN-00101,Certificado Medico,True,True,2024-01-19,False,
DOC-000344,SIN-00101,Cedula Asegurado,True,True,2024-01-19,False,
DOC-000345,SIN-00101,Factura Reparacion,True,True,2024-01-19,False,
DOC-000346,SIN-00102,Foto Evidencia,True,True,2025-12-08,False,
DOC-000347,SIN-00102,Denuncia Policial,True,True,2025-12-08,False,
DOC-000348,SIN-00103,Factura Reparacion,True,True,2023-12-31,False,
DOC-000349,SIN-00103,Foto Evidencia,True,True,2023-12-31,False,
DOC-000350,SIN-00103,Informe Perito,True,True,2023-12-31,False,
DOC-000351,SIN-00104,Certificado Medico,True,True,2026-03-22,False,
DOC-000352,SIN-00104,Informe Perito,True,True,2026-03-22,False,
DOC-000353,SIN-00104,Denuncia Policial,True,True,2026-03-22,False,
DOC-000354,SIN-00104,Cedula Asegurado,True,False,2026-03-22,False,
DOC-000355,SIN-00104,Factura Reparacion,True,True,2026-03-22,False,
DOC-000356,SIN-00105,Certificado Medico,True,True,2026-03-21,False,
DOC-000357,SIN-00105,Factura Reparacion,True,True,2026-03-21,False,
DOC-000358,SIN-00106,Informe Perito,True,False,2024-01-29,False,
DOC-000359,SIN-00106,Factura Reparacion,True,True,2024-01-29,False,
DOC-000360,SIN-00106,Cedula Asegurado,True,True,2024-01-29,False,
DOC-000361,SIN-00107,Foto Evidencia,True,True,2026-04-25,False,
DOC-000362,SIN-00107,Cedula Asegurado,True,True,2026-04-25,False,
DOC-000363,SIN-00107,Denuncia Policial,True,True,2026-04-25,False,
DOC-000364,SIN-00107,Informe Perito,True,True,2026-04-25,False,
DOC-000365,SIN-00107,Certificado Medico,True,True,2026-04-25,False,
DOC-000366,SIN-00108,Cedula Asegurado,True,True,2026-05-26,False,
DOC-000367,SIN-00108,Informe Perito,True,True,2026-05-26,False,
DOC-000368,SIN-00108,Foto Evidencia,True,True,2026-05-26,False,
DOC-000369,SIN-00108,Certificado Medico,True,True,2026-05-26,False,
DOC-000370,SIN-00108,Denuncia Policial,True,True,2026-05-26,False,
DOC-000371,SIN-00109,Certificado Medico,True,False,2024-05-05,False,
DOC-000372,SIN-00109,Foto Evidencia,True,True,2024-05-05,False,
DOC-000373,SIN-00109,Informe Perito,True,True,2024-05-05,False,
DOC-000374,SIN-00110,Denuncia Policial,True,True,2025-09-06,False,
DOC-000375,SIN-00110,Foto Evidencia,True,True,2025-09-06,False,
