id_asegurado,segmento,antiguedad,ciudad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente
ASE-0121,Natural,12,Manta,3,0,False,69
ASE-0122,Juridico,14,Loja,3,0,False,94
ASE-0123,Natural,14,Quito,3,0,False,55
ASE-0124,Juridico,10,Manta,4,0,False,41
ASE-0125,Juridico,14,Cuenca,2,0,False,53
ASE-0126,Juridico,13,Cuenca,3,0,False,96
ASE-0127,Juridico,9,Quito,2,0,True,55
ASE-0128,Juridico,8,Manta,2,0,False,81
ASE-0129,Juridico,8,Ibarra,1,0,True,58
ASE-0130,Natural,7,Loja,2,0,False,82
ASE-0131,Juridico,8,Manta,3,0,False,87
ASE-0132,Juridico,6,Loja,4,0,False,59
ASE-0133,Juridico,4,Quito,2,0,False,47
ASE-0134,Natural,4,Guayaquil,4,0,False,86
ASE-0135,Juridico,2,Ibarra,2,0,False,54
ASE-0136,Juridico,3,Cuenca,1,0,True,57
ASE-0137,Natural,1,Manta,3,0,True,80
ASE-0138,Juridico,2,Ibarra,1,0,False,70
ASE-0139,Juridico,8,Cuenca,2,0,True,56
ASE-0140,Juridico,2,Ibarra,1,0,False,71
ASE-0141,Natural,10,Loja,1,0,True,49
ASE-0142,Juridico,2,Guayaquil,1,0,False,78
ASE-0143,Natural,13,Manta,4,0,False,98
ASE-0144,Juridico,5,Ibarra,4,0,False,76
ASE-0145,Natural,10,Loja,1,0,True,80
ASE-0146,Natural,5,Loja,1,0,True,55
ASE-0147,Natural,9,Quito,2,0,True,66
ASE-0148,Juridico,12,Manta,4,0,False,42
ASE-0149,Natural,5,Loja,3,0,False,44
ASE-0150,Natural,15,Cuenca,2,0,False,47
ASE-0151,Natural,11,Guayaquil,3,0,True,44
ASE-0152,Natural,3,Ibarra,3,0,False,68
ASE-0153,Natural,8,Loja,3,0,False,100
ASE-0154,Juridico,9,Manta,4,0,False,45
ASE-0155,Natural,15,Ambato,3,0,False,41
ASE-0156,Natural,4,Loja,1,0,False,76
ASE-0157,Natural,13,Ibarra,2,0,False,73
ASE-0158,Juridico,15,Cuenca,2,0,False,80
ASE-0159,Juridico,2,Ambato,3,0,False,61
ASE-0160,Juridico,11,Quito,2,0,False,66
ASE-0161,Juridico,5,Loja,4,0,True,69
ASE-0162,Natural,6,Cuenca,3,0,True,89
ASE-0163,Juridico,14,Manta,1,0,False,66
ASE-0164,Natural,4,Manta,3,0,False,80
ASE-0165,Juridico,13,Quito,2,0,False,75
ASE-0166,Natural,15,Cuenca,4,0,False,47
ASE-0167,Natural,11,Manta,2,0,True,59
ASE-0168,Natural,9,Ambato,1,0,True,93
ASE-0169,Natural,8,Quito,2,0,False,99
ASE-0170,Juridico,9,Loja,3,0,False,93
ASE-0171,Juridico,8,Guayaquil,4,0,True,64
ASE-0172,Natural,15,Manta,2,0,True,57
ASE-0173,Juridico,6,Ibarra,3,0,True,58
ASE-0174,Juridico,14,Manta,4,0,True,68
ASE-0175,Juridico,6,Cuenca,4,0,False,99
ASE-0176,Juridico,14,Guayaquil,2,0,False,54
ASE-0177,Juridico,1,Cuenca,4,0,False,64
ASE-0178,Natural,8,Quito,2,0,False,95
ASE-0179,Natural,14,Ibarra,4,0,True,73
ASE-0180,Juridico,1,Loja,2,0,False,95
ASE-0181,Natural,2,Ambato,3,0,False,79
ASE-0182,Juridico,11,Quito,3,0,False,60
ASE-0183,Juridico,14,Manta,1,0,True,55
ASE-0184,Juridico,4,Loja,1,0,False,46
ASE-0185,Natural,8,Guayaquil,3,0,True,42
ASE-0186,Juridico,13,Quito,3,0,False,63
ASE-0187,Juridico,3,Guayaquil,4,0,True,50
ASE-0188,Natural,2,Manta,4,0,True,71
ASE-0189,Natural,4,Ambato,3,0,False,56
ASE-0190,Natural,15,Ibarra,4,0,False,83
ASE-0191,Natural,2,Ambato,3,0,False,80
ASE-0192,Juridico,12,Cuenca,4,0,False,52
ASE-0193,Juridico,14,Ambato,1,0,True,64
ASE-0194,Juridico,10,Cuenca,3,0,True,93
ASE-0195,Juridico,5,Quito,1,0,False,93
ASE-0196,Juridico,13,Ibarra,2,0,False,54
ASE-0197,Natural,10,Cuenca,2,0,True,97
ASE-0198,Natural,5,Ibarra,4,0,True,77
ASE-0199,Juridico,12,Guayaquil,1,0,False,60
ASE-0200,Juridico,3,Guayaquil,2,0,False,73
