id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00032,ASE-0080,Hogar,2025-11-27,2026-11-27,966.17,43287.29,446.96,Directo,Quito,Vigente
POL-00033,ASE-0074,Vehiculos,2024-04-02,2025-04-02,1227.06,36090.57,459.09,Agente,Manta,Cancelada
POL-00034,ASE-0099,Hogar,2023-06-24,2024-06-23,1879.37,43873.42,425.53,Agente,Ambato,Cancelada
POL-00035,ASE-0083,Generales,2025-04-07,2026-04-07,1196.04,24026.35,435.45,Directo,Manta,Vigente
POL-00036,ASE-0116,Vehiculos,2025-12-22,2026-12-22,533.12,33286.93,500.8,Digital,Loja,Vigente
POL-00037,ASE-0166,Salud,2023-06-29,2024-06-28,554.13,23359.39,622.48,Agente,Guayaquil,Cancelada
POL-00038,ASE-0113,Generales,2023-11-13,2024-11-12,824.97,19346.85,496.84,Broker,Cuenca,Vencida
POL-00039,ASE-0100,Hogar,2024-09-25,2025-09-25,1899.34,22261.66,551.64,Digital,Loja,Cancelada
POL-00040,ASE-0162,Vida,2026-01-10,2027-01-10,1576.73,22129.13,568.46,Agente,Cuenca,Vigente
POL-00041,ASE-0073,Vida,2024-02-26,2025-02-25,1009.61,33969.17,540.06,Broker,Cuenca,Vigente
POL-00042,ASE-0090,Vida,2025-07-12,2026-07-12,1251.52,17708.69,600.59,Directo,Guayaquil,Cancelada
POL-00043,ASE-0080,Generales,2025-11-05,2026-11-05,941.92,20595.56,362.23,Directo,Loja,Vencida
POL-00044,ASE-0172,Generales,2025-08-09,2026-08-09,1330.89,35326.93,354.98,Agente,Loja,Cancelada
POL-00045,ASE-0131,Vida,2023-12-12,2024-12-11,1217.41,21794.87,543.55,Agente,Cuenca,Vencida
POL-00046,ASE-0055,Vida,2025-04-23,2026-04-23,731.09,35728.13,466.02,Directo,Guayaquil,Vigente
POL-00047,ASE-0040,Vehiculos,2025-07-20,2026-07-20,1828.89,19125.63,452.32,Digital,Ibarra,Vigente
POL-00048,ASE-0198,Generales,2023-06-23,2024-06-22,643.4,42740.81,613.2,Agente,Loja,Vencida
POL-00049,ASE-0153,Hogar,2025-08-02,2026-08-02,851.44,34799.52,595.17,Broker,Guayaquil,Vigente
POL-00050,ASE-0185,Hogar,2025-05-23,2026-05-23,1279.49,30889.52,422.56,Agente,Ambato,Vencida
POL-00051,ASE-0114,Generales,2024-12-27,2025-12-27,614.07,41916.47,620.13,Digital,Ibarra,Cancelada
POL-00052,ASE-0060,Generales,2023-10-21,2024-10-20,1391.67,25170.89,454.76,Broker,Cuenca,Vencida
POL-00053,ASE-0095,Generales,2025-03-26,2026-03-26,1525.38,41913.31,616.13,Directo,Ambato,Vencida
POL-00054,ASE-0129,Generales,2024-03-06,2025-03-06,1603.02,34260.95,375.24,Directo,Guayaquil,Vigente
POL-00055,ASE-0065,Vehiculos,2025-07-18,2026-07-18,712.75,41956.63,531.93,Directo,Ibarra,Vencida
POL-00056,ASE-0183,Generales,2025-09-29,2026-09-29,493.24,18044.15,549.05,Agente,Cuenca,Vigente
POL-00057,ASE-0070,Hogar,2025-06-03,2026-06-03,487.29,19824.24,514.62,Broker,Ibarra,Vencida
POL-00058,ASE-0057,Hogar,2025-10-22,2026-10-22,1476.33,34558.84,417.28,Digital,Quito,Vencida
POL-00059,ASE-0102,Generales,2026-01-08,2027-01-08,1505.54,22117.47,447.62,Digital,Guayaquil,Vencida
POL-00060,ASE-0096,Salud,2025-11-11,2026-11-11,1554.95,34488.99,604.77,Agente,Cuenca,Vigente
POL-00061,ASE-0038,Salud,2024-06-10,2025-06-10,1426.96,32049.26,378.1,Agente,Cuenca,Vencida
POL-00062,ASE-0195,Hogar,2025-07-17,2026-07-17,1009.51,22956.07,423.2,Directo,Manta,Vigente
POL-00063,ASE-0005,Vida,2025-11-16,2026-11-16,1881.14,26792.93,617.61,Broker,Ibarra,Vigente
POL-00064,ASE-0029,Vida,2023-12-13,2024-12-12,1388.84,38844.34,500.79,Broker,Cuenca,Vigente
POL-00065,ASE-0062,Hogar,2026-01-20,2027-01-20,1310.74,29775.53,408.57,Directo,Quito,Vigente
POL-00066,ASE-0153,Generales,2023-07-09,2024-07-08,1520.33,23423.17,357.29,Agente,Loja,Cancelada
POL-00067,ASE-0184,Salud,2024-12-18,2025-12-18,1409.48,20313.32,632.14,Digital,Ambato,Vigente
POL-00068,ASE-0062,Generales,2024-05-05,2025-05-05,1853.66,42445.93,461.05,Directo,Guayaquil,Cancelada
POL-00069,ASE-0135,Vida,2025-11-03,2026-11-03,502.26,42849.56,478.46,Agente,Manta,Cancelada
POL-00070,ASE-0130,Generales,2023-06-23,2024-06-22,1871.98,43908.6,605.9,Agente,Ambato,Vencida
POL-00071,ASE-0163,Hogar,2026-01-28,2027-01-28,904.01,26552.93,605.34,Digital,Cuenca,Cancelada
POL-00072,ASE-0092,Vehiculos,2026-03-25,2027-03-25,936.37,20084.78,517.04,Digital,Guayaquil,Cancelada
POL-00073,ASE-0198,Generales,2025-09-27,2026-09-27,1828.06,35880.89,521.02,Digital,Guayaquil,Vigente
POL-00074,ASE-0140,Vida,2024-05-06,2025-05-06,619.93,33450.22,647.02,Broker,Ibarra,Cancelada
POL-00075,ASE-0179,Hogar,2023-09-19,2024-09-18,681.72,30549.89,613.21,Broker,Ibarra,Vigente
POL-00076,ASE-0184,Hogar,2025-12-19,2026-12-19,1546.71,35910.47,560.75,Agente,Cuenca,Vigente
POL-00077,ASE-0052,Vehiculos,2026-01-28,2027-01-28,997.67,23807.76,592.81,Digital,Cuenca,Cancelada
POL-00078,ASE-0140,Hogar,2024-02-02,2025-02-01,1646.56,41012.17,623.97,Digital,Quito,Cancelada
POL-00079,ASE-0074,Vida,2025-04-01,2026-04-01,1216.33,30045.49,589.49,Agente,Ibarra,Cancelada
POL-00080,ASE-0070,Vehiculos,2024-06-17,2025-06-17,1415.95,36059.01,588.74,Digital,Ambato,Vencida
POL-00081,ASE-0099,Vida,2023-11-09,2024-11-08,1761.61,25139.85,462.67,Broker,Ambato,Cancelada
POL-00082,ASE-0095,Generales,2023-07-14,2024-07-13,615.33,32348.4,360.78,Digital,Ibarra,Vigente
POL-00083,ASE-0021,Hogar,2023-12-10,2024-12-09,1150.46,31279.34,435.96,Broker,Manta,Vencida
POL-00084,ASE-0027,Vehiculos,2024-07-09,2025-07-09,1330.8,15915.01,361.2,Digital,Loja,Vencida
POL-00085,ASE-0115,Generales,2024-08-08,2025-08-08,1664.54,25805.72,388.12,Directo,Guayaquil,Cancelada
POL-00086,ASE-0090,Hogar,2023-10-31,2024-10-30,1232.03,38099.81,414.75,Agente,Loja,Vencida
POL-00087,ASE-0071,Vehiculos,2023-11-19,2024-11-18,1376.96,17560.42,365.5,Agente,Loja,Cancelada
POL-00088,ASE-0094,Generales,2024-01-17,2025-01-16,1245.15,31219.05,541.23,Broker,Quito,Vigente
POL-00089,ASE-0009,Salud,2023-11-12,2024-11-11,1525.57,44275.56,504.89,Agente,Guayaquil,Cancelada
POL-00090,ASE-0093,Hogar,2024-04-07,2025-04-07,945.06,38855.59,431.25,Agente,Manta,Vigente
POL-00091,ASE-0095,Vida,2023-10-19,2024-10-18,1112.12,17353.69,357.61,Directo,Ibarra,Vigente
POL-00092,ASE-0136,Vida,2025-07-20,2026-07-20,1866.21,40079.4,558.79,Directo,Cuenca,Cancelada
POL-00093,ASE-0064,Vehiculos,2024-10-04,2025-10-04,1068.89,20198.83,396.93,Agente,Loja,Vigente
POL-00094,ASE-0133,Hogar,2023-07-10,2024-07-09,840.35,31476.8,564.38,Agente,Cuenca,Vencida
POL-00095,ASE-0055,Generales,2023-10-27,2024-10-26,1430.68,23398.02,636.46,Digital,Loja,Vencida
POL-00096,ASE-0032,Salud,2025-03-14,2026-03-14,1542.57,31630.62,533.52,Agente,Ambato,Vigente
POL-00097,ASE-0023,Vida,2023-10-29,2024-10-28,1084.22,22431.93,456.79,Digital,Loja,Vigente
POL-00098,ASE-0077,Salud,2024-09-10,2025-09-10,1571.3,15431.8,384.82,Broker,Ibarra,Vencida
POL-00099,ASE-0058,Vehiculos,2023-06-21,2024-06-20,546.24,16221.86,606.64,Broker,Ibarra,Vigente
POL-00100,ASE-0127,Vehiculos,2024-12-29,2025-12-29,1493.27,29225.21,379.35,Digital,Manta,Cancelada
POL-00101,ASE-0120,Generales,2024-04-02,2025-04-02,1187.93,29204.15,401.96,Broker,Manta,Vigente
POL-00102,ASE-0080,Hogar,2025-12-14,2026-12-14,1104.75,26955.14,534.76,Directo,Manta,Vencida
POL-00103,ASE-0148,Vehiculos,2024-01-10,2025-01-09,1394.53,16359.12,462.38,Broker,Cuenca,Cancelada
POL-00104,ASE-0116,Hogar,2025-11-27,2026-11-27,1381.24,30094.09,606.95,Digital,Guayaquil,Cancelada
POL-00105,ASE-0197,Salud,2025-04-20,2026-04-20,1428.52,19888.03,371.17,Directo,Manta,Vigente
POL-00106,ASE-0133,Salud,2025-08-16,2026-08-16,1405.08,15795.34,525.73,Digital,Guayaquil,Vigente
POL-00107,ASE-0182,Salud,2024-07-06,2025-07-06,1833.93,32264.23,466.45,Digital,Manta,Vencida
POL-00108,ASE-0065,Salud,2025-11-17,2026-11-17,1406.34,28747.59,513.69,Digital,Guayaquil,Cancelada
POL-00109,ASE-0158,Generales,2024-08-15,2025-08-15,1835.71,26583.08,638.36,Agente,Manta,Cancelada
POL-00110,ASE-0152,Generales,2025-05-17,2026-05-17,1783.7,20873.73,370.81,Broker,Guayaquil,Cancelada
POL-00111,ASE-0145,Vehiculos,2024-06-05,2025-06-05,625.12,15546.65,378.33,Agente,Quito,Vigente
POL-00112,ASE-0167,Salud,2024-11-01,2025-11-01,1463.53,17135.66,445.69,Directo,Manta,Cancelada
POL-00113,ASE-0128,Generales,2026-02-24,2027-02-24,1696.62,15698.16,594.34,Digital,Loja,Vencida
POL-00114,ASE-0063,Hogar,2023-08-12,2024-08-11,885.87,18544.94,559.02,Digital,Ambato,Vigente
POL-00115,ASE-0041,Hogar,2025-12-26,2026-12-26,1385.68,41324.16,570.52,Directo,Ambato,Vencida
POL-00116,ASE-0088,Generales,2025-03-06,2026-03-06,1637.01,23461.04,403.23,Broker,Cuenca,Cancelada
POL-00117,ASE-0188,Vida,2024-07-13,2025-07-13,1560.89,39205.04,647.15,Directo,Guayaquil,Vencida
POL-00118,ASE-0144,Vehiculos,2023-06-08,2024-06-07,1074.17,26160.54,582.92,Digital,Guayaquil,Vencida
POL-00119,ASE-0069,Hogar,2025-08-20,2026-08-20,970.76,42922.72,607.52,Broker,Guayaquil,Vigente
POL-00120,ASE-0075,Hogar,2026-01-14,2027-01-14,1097.75,37526.13,576.36,Directo,Guayaquil,Vigente
POL-00121,ASE-0148,Vida,2024-06-26,2025-06-26,628.5,42076.59,501.58,Broker,Ibarra,Vigente
POL-00122,ASE-0132,Hogar,2023-07-12,2024-07-11,1670.1,24601.49,618.66,Directo,Cuenca,Vencida
POL-00123,ASE-0024,Hogar,2026-03-11,2027-03-11,1040.45,15325.13,621.61,Directo,Guayaquil,Vigente
POL-00124,ASE-0013,Vehiculos,2024-05-05,2025-05-05,611.45,24579.41,635.02,Digital,Ambato,Cancelada
POL-00125,ASE-0074,Generales,2023-09-07,2024-09-06,1848.87,32203.14,539.55,Agente,Ibarra,Vigente
POL-00126,ASE-0035,Vida,2023-11-27,2024-11-26,1125.76,23796.32,448.6,Digital,Ibarra,Vencida
POL-00127,ASE-0012,Hogar,2024-04-08,2025-04-08,1448.43,37571.24,587.47,Agente,Manta,Cancelada
POL-00128,ASE-0093,Generales,2025-03-25,2026-03-25,1617.05,17736.18,498.33,Digital,Quito,Vencida
POL-00129,ASE-0116,Generales,2023-06-30,2024-06-29,562.88,31485.87,482.46,Digital,Ibarra,Cancelada
POL-00130,ASE-0033,Vehiculos,2025-08-27,2026-08-27,1758.29,25527.45,385.12,Directo,Cuenca,Vencida
POL-00131,ASE-0194,Salud,2024-04-09,2025-04-09,685.91,37845.32,535.47,Broker,Manta,Cancelada
POL-00132,ASE-0129,Vehiculos,2024-01-26,2025-01-25,625.62,17523.2,560.29,Agente,Quito,Vigente
POL-00133,ASE-0122,Generales,2024-06-14,2025-06-14,584.78,39655.8,561.87,Directo,Guayaquil,Cancelada
POL-00134,ASE-0036,Vida,2023-06-07,2024-06-06,597.14,17545.13,645.99,Digital,Guayaquil,Vencida
POL-00135,ASE-0152,Vida,2024-08-23,2025-08-23,1018.95,26119.26,593.84,Directo,Loja,Cancelada
POL-00136,ASE-0122,Vehiculos,2024-08-22,2025-08-22,1844.04,44580.03,576.01,Digital,Cuenca,Cancelada
POL-00137,ASE-0107,Generales,2025-09-15,2026-09-15,1021.81,17505.02,583.14,Digital,Ibarra,Cancelada
POL-00138,ASE-0153,Hogar,2026-03-04,2027-03-04,1284.1,27726.66,621.91,Digital,Loja,Cancelada
POL-00139,ASE-0185,Vehiculos,2025-01-16,2026-01-16,640.12,29778.75,353.41,Directo,Guayaquil,Cancelada
POL-00140,ASE-0038,Salud,2024-03-10,2025-03-10,1154.87,16689.1,385.65,Agente,Manta,Cancelada
POL-00141,ASE-0049,Vehiculos,2025-09-14,2026-09-14,649.24,34476.31,573.81,Directo,Cuenca,Vencida
POL-00142,ASE-0106,Salud,2025-06-21,2026-06-21,1320.05,43865.18,462.46,Directo,Manta,Cancelada
POL-00143,ASE-0189,Vehiculos,2023-09-05,2024-09-04,891.43,41057.97,417.08,Broker,Manta,Vigente
POL-00144,ASE-0170,Hogar,2024-07-01,2025-07-01,1867.04,15364.63,640.96,Directo,Cuenca,Vigente
POL-00145,ASE-0137,Vida,2023-09-29,2024-09-28,542.15,41734.29,508.31,Digital,Loja,Cancelada
POL-00146,ASE-0157,Hogar,2024-11-02,2025-11-02,1909.87,17213.9,516.16,Broker,Guayaquil,Vencida
POL-00147,ASE-0058,Vida,2024-08-24,2025-08-24,1875.8,30692.94,538.82,Digital,Loja,Vigente
POL-00148,ASE-0082,Hogar,2023-07-31,2024-07-30,1481.88,28636.23,538.27,Digital,Manta,Cancelada
POL-00149,ASE-0074,Vehiculos,2024-10-14,2025-10-14,1321.41,42034.74,363.63,Directo,Ambato,Vencida
POL-00150,ASE-0075,Vehiculos,2025-07-02,2026-07-02,884.59,43512.34,617.08,Digital,Loja,Vigente
POL-00151,ASE-0114,Vida,2024-05-18,2025-05-18,1136.15,33603.98,433.21,Directo,Guayaquil,Vigente
POL-00152,ASE-0144,Vida,2024-10-19,2025-10-19,750.89,28910.95,456.01,Broker,Quito,Cancelada
POL-00153,ASE-0063,Vehiculos,2024-12-23,2025-12-23,1320.46,17332.04,642.32,Broker,Loja,Vigente
POL-00154,ASE-0026,Hogar,2026-01-10,2027-01-10,1900.14,35944.85,510.83,Digital,Loja,Vencida
POL-00155,ASE-0175,Salud,2025-10-04,2026-10-04,925.72,39413.85,555.42,Agente,Manta,Vigente
POL-00156,ASE-0168,Hogar,2024-01-15,2025-01-14,714.17,42327.82,596.76,Directo,Loja,Vigente
POL-00157,ASE-0083,Vida,2024-09-16,2025-09-16,1847.71,36771.59,534.02,Agente,Ibarra,Vigente
POL-00158,ASE-0137,Vehiculos,2025-01-07,2026-01-07,1082.27,42981.85,609.82,Broker,Ambato,Vigente
POL-00159,ASE-0102,Hogar,2026-02-12,2027-02-12,545.11,15791.01,462.94,Broker,Loja,Vencida
POL-00160,ASE-0003,Vida,2026-02-10,2027-02-10,1647.2,44618.28,395.13,Agente,Cuenca,Vencida
POL-00161,ASE-0165,Generales,2023-10-10,2024-10-09,1335.55,26426.73,640.97,Directo,Guayaquil,Cancelada
POL-00162,ASE-0070,Salud,2023-09-12,2024-09-11,1692.65,40149.86,490.61,Agente,Cuenca,Vigente
POL-00163,ASE-0166,Vida,2023-10-01,2024-09-30,1077.34,23202.21,366.91,Broker,Quito,Cancelada
POL-00164,ASE-0076,Generales,2024-06-06,2025-06-06,1725.2,39387.03,649.92,Broker,Guayaquil,Cancelada
POL-00165,ASE-0110,Generales,2024-01-18,2025-01-17,1915.16,31662.95,580.7,Digital,Quito,Vencida
POL-00166,ASE-0048,Salud,2025-10-14,2026-10-14,1840.46,40489.42,424.2,Directo,Cuenca,Vigente
POL-00167,ASE-0067,Hogar,2026-04-14,2027-04-14,1128.78,18874.78,636.22,Broker,Ambato,Vencida
POL-00168,ASE-0078,Generales,2024-06-21,2025-06-21,1352.89,21859.28,551.51,Agente,Cuenca,Cancelada
POL-00169,ASE-0178,Salud,2024-04-21,2025-04-21,1370.1,25744.88,384.07,Agente,Loja,Vigente
POL-00170,ASE-0079,Salud,2023-09-17,2024-09-16,1447.07,30609.23,581.7,Directo,Loja,Cancelada
POL-00171,ASE-0177,Vehiculos,2024-07-30,2025-07-30,1229.04,40565.45,515.57,Digital,Cuenca,Cancelada
POL-00172,ASE-0057,Salud,2025-01-30,2026-01-30,1287.75,41299.61,471.04,Directo,Guayaquil,Vencida
POL-00173,ASE-0107,Generales,2024-03-23,2025-03-23,672.98,15863.48,576.54,Directo,Ibarra,Cancelada
POL-00174,ASE-0196,Salud,2025-02-04,2026-02-04,1373.25,36122.39,413.89,Agente,Manta,Vencida
POL-00175,ASE-0020,Generales,2024-04-17,2025-04-17,676.37,15436.34,455.18,Agente,Quito,Cancelada
POL-00176,ASE-0052,Generales,2023-06-27,2024-06-26,1329.48,26767.32,481.24,Broker,Guayaquil,Vencida
POL-00177,ASE-0114,Vehiculos,2023-05-28,2024-05-27,1781.99,25447.66,504.2,Broker,Loja,Cancelada
POL-00178,ASE-0024,Generales,2023-07-31,2024-07-30,1608.46,26896.28,536.63,Directo,Ibarra,Vigente
POL-00179,ASE-0034,Generales,2023-10-12,2024-10-11,1721.8,43485.62,394.12,Directo,Ambato,Cancelada
POL-00180,ASE-0144,Hogar,2025-12-30,2026-12-30,1814.29,29763.49,427.47,Digital,Loja,Vigente
POL-00181,ASE-0066,Vehiculos,2024-02-07,2025-02-06,1141.16,44400.98,497.79,Broker,Manta,Vigente
POL-00182,ASE-0109,Vida,2026-01-25,2027-01-25,953.4,34002.03,422.04,Agente,Manta,Vigente
POL-00183,ASE-0121,Vehiculos,2025-12-07,2026-12-07,589.24,18866.39,388.41,Digital,Ambato,Vigente
POL-00184,ASE-0197,Hogar,2025-07-24,2026-07-24,698.74,19164.82,542.26,Digital,Ambato,Vencida
POL-00185,ASE-0097,Vehiculos,2024-03-15,2025-03-15,741.91,25370.02,619.04,Broker,Loja,Vencida
POL-00186,ASE-0046,Generales,2025-08-28,2026-08-28,1162.5,35026.73,401.7,Directo,Manta,Vigente
POL-00187,ASE-0001,Vehiculos,2025-01-26,2026-01-26,756.9,16226.06,400.68,Digital,Ambato,Cancelada
POL-00188,ASE-0137,Hogar,2023-12-11,2024-12-10,881.17,20310.31,376.61,Broker,Guayaquil,Vencida
POL-00189,ASE-0040,Vida,2024-05-19,2025-05-19,653.72,28823.36,411.9,Broker,Loja,Vigente
POL-00190,ASE-0170,Hogar,2026-02-21,2027-02-21,1004.55,30102.52,557.12,Agente,Guayaquil,Vigente
POL-00191,ASE-0026,Generales,2025-12-11,2026-12-11,536.61,38982.31,538.37,Agente,Ambato,Cancelada
POL-00192,ASE-0063,Vehiculos,2026-01-18,2027-01-18,597.73,41207.36,626.26,Directo,Ambato,Vigente
POL-00193,ASE-0194,Vehiculos,2025-02-07,2026-02-07,567.95,23306.33,591.86,Broker,Manta,Vencida
POL-00194,ASE-0188,Generales,2025-01-03,2026-01-03,1557.49,20535.63,412.8,Digital,Manta,Cancelada
POL-00195,ASE-0061,Vida,2024-07-10,2025-07-10,1013.48,29535.69,535.48,Broker,Loja,Cancelada
POL-00196,ASE-0106,Vida,2025-01-30,2026-01-30,1011.24,28876.04,574.24,Digital,Quito,Cancelada
POL-00197,ASE-0161,Hogar,2025-05-04,2026-05-04,532.82,22573.11,564.0,Directo,Quito,Vencida
POL-00198,ASE-0135,Vida,2024-03-08,2025-03-08,1769.1,30350.32,509.63,Directo,Ambato,Vigente
POL-00199,ASE-0097,Salud,2024-08-21,2025-08-21,634.33,28422.37,509.79,Directo,Guayaquil,Vigente
POL-00200,ASE-0182,Salud,2024-08-20,2025-08-20,829.16,23077.3,463.19,Directo,Quito,Cancelada
POL-00201,ASE-0107,Generales,2024-01-03,2025-01-02,508.9,24662.37,413.43,Broker,Ambato,Vigente
POL-00202,ASE-0053,Vida,2024-11-21,2025-11-21,951.6,18592.86,617.16,Agente,Ambato,Vencida
POL-00203,ASE-0138,Salud,2025-10-20,2026-10-20,1334.77,35373.07,586.75,Agente,Cuenca,Vencida
POL-00204,ASE-0019,Salud,2026-02-06,2027-02-06,1197.76,17607.61,511.13,Broker,Ambato,Vigente
POL-00205,ASE-0078,Vehiculos,2024-06-15,2025-06-15,1325.05,37363.18,479.5,Broker,Guayaquil,Cancelada
POL-00206,ASE-0192,Hogar,2025-08-30,2026-08-30,663.72,23513.28,458.92,Broker,Loja,Cancelada
POL-00207,ASE-0102,Salud,2025-03-05,2026-03-05,1410.12,32123.35,456.83,Digital,Ibarra,Vencida
POL-00208,ASE-0120,Generales,2024-03-09,2025-03-09,1900.58,33173.24,421.17,Digital,Cuenca,Vencida
POL-00209,ASE-0132,Hogar,2024-04-21,2025-04-21,626.57,19585.77,423.79,Directo,Quito,Cancelada
POL-00210,ASE-0195,Vida,2023-09-09,2024-09-08,711.38,20597.01,435.53,Broker,Cuenca,Vencida
POL-00211,ASE-0012,Generales,2024-01-01,2024-12-31,729.66,41902.96,374.07,Broker,Loja,Vigente
POL-00212,ASE-0067,Generales,2026-03-25,2027-03-25,1235.3,27311.9,644.71,Directo,Cuenca,Vigente
POL-00213,ASE-0085,Salud,2025-03-22,2026-03-22,641.34,26935.67,640.84,Directo,Manta,Vigente
POL-00214,ASE-0141,Vida,2023-07-10,2024-07-09,1726.33,39512.16,427.37,Digital,Ibarra,Vencida
POL-00215,ASE-0118,Salud,2023-07-28,2024-07-27,726.08,35059.3,628.81,Digital,Guayaquil,Vigente
POL-00216,ASE-0048,Generales,2023-08-01,2024-07-31,1281.74,32148.38,433.99,Agente,Manta,Vigente
POL-00217,ASE-0172,Vehiculos,2025-11-26,2026-11-26,1588.07,20611.31,447.1,Agente,Ambato,Vigente
POL-00218,ASE-0018,Salud,2025-01-09,2026-01-09,1092.63,30228.31,422.72,Agente,Guayaquil,Cancelada
POL-00219,ASE-0096,Vehiculos,2023-10-07,2024-10-06,645.37,33318.6,436.59,Directo,Loja,Vencida
POL-00220,ASE-0002,Generales,2026-03-26,2027-03-26,1316.98,19630.88,494.34,Directo,Quito,Vigente
POL-00221,ASE-0138,Vida,2024-10-12,2025-10-12,1246.93,16554.71,450.98,Agente,Manta,Cancelada
POL-00222,ASE-0046,Vehiculos,2023-11-28,2024-11-27,673.56,16901.25,646.99,Agente,Manta,Vigente
POL-00223,ASE-0050,Generales,2024-12-20,2025-12-20,944.19,39296.23,426.39,Digital,Ibarra,Vencida
POL-00224,ASE-0102,Vehiculos,2024-10-27,2025-10-27,1461.36,37806.84,528.69,Digital,Ambato,Vencida
POL-00225,ASE-0179,Salud,2024-12-15,2025-12-15,1159.07,27355.23,454.66,Digital,Loja,Vigente
POL-00226,ASE-0024,Hogar,2026-02-22,2027-02-22,1818.52,39918.58,639.51,Directo,Ambato,Cancelada
POL-00227,ASE-0015,Vehiculos,2023-08-27,2024-08-26,658.99,36926.02,631.5,Broker,Quito,Vencida
POL-00228,ASE-0166,Vida,2023-11-21,2024-11-20,740.98,16994.89,572.34,Agente,Manta,Vigente
POL-00229,ASE-0055,Generales,2025-01-12,2026-01-12,1307.24,40254.86,391.93,Directo,Cuenca,Vigente
POL-00230,ASE-0176,Vida,2025-11-26,2026-11-26,1625.18,21048.82,399.1,Agente,Guayaquil,Vencida
POL-00231,ASE-0054,Generales,2026-03-26,2027-03-26,716.54,39437.24,549.56,Broker,Ibarra,Cancelada
